Date,Price
2014/11/14,76
2014/11/17,76
2014/11/18,75
2014/11/19,75
2014/11/20,76
2014/11/21,77
2014/11/24,76
2014/11/25,74
2014/11/26,74
,
2014/11/28,66
2014/12/1,69
2014/12/2,67
2014/12/3,67
2014/12/4,67
2014/12/5,66
2014/12/8,63
2014/12/9,64
2014/12/10,61
2014/12/11,60
2014/12/12,58
2014/12/15,56
2014/12/16,56
2014/12/17,56
2014/12/18,54
2014/12/19,57
2014/12/22,55
2014/12/23,57
2014/12/24,56
,
2014/12/26,55
2014/12/29,53
2014/12/30,54
2014/12/31,53
,
2015/1/2,53
2015/1/5,50
2015/1/6,48
2015/1/7,49
2015/1/8,49
2015/1/9,48
2015/1/12,46
2015/1/13,46
2015/1/14,48
2015/1/15,46
2015/1/16,48
,
2015/1/20,47
2015/1/21,48
2015/1/22,46
2015/1/23,45
2015/1/26,45
2015/1/27,46
2015/1/28,44
2015/1/29,44
2015/1/30,48
2015/2/2,49
2015/2/3,53
2015/2/4,48
2015/2/5,50
2015/2/6,52
2015/2/9,53
2015/2/10,50
2015/2/11,49
2015/2/12,51
2015/2/13,53
,
2015/2/17,54
2015/2/18,52
2015/2/19,51
2015/2/20,50
2015/2/23,50
2015/2/24,48
2015/2/25,50
2015/2/26,48
2015/2/27,50
2015/3/2,50
2015/3/3,50
2015/3/4,52
2015/3/5,51
2015/3/6,50
2015/3/9,50
2015/3/10,48
2015/3/11,48
2015/3/12,47
2015/3/13,45
2015/3/16,44
2015/3/17,43
2015/3/18,45
2015/3/19,44
2015/3/20,46
2015/3/23,47
2015/3/24,47
2015/3/25,49
2015/3/26,51
2015/3/27,49
2015/3/30,49
2015/3/31,48
2015/4/1,50
2015/4/2,49
,
2015/4/6,52
2015/4/7,54
2015/4/8,50
2015/4/9,51
2015/4/10,52
2015/4/13,52
2015/4/14,53
2015/4/15,56
2015/4/16,57
2015/4/17,56
2015/4/20,56
2015/4/21,56
2015/4/22,56
2015/4/23,57
2015/4/24,56
2015/4/27,56
2015/4/28,57
2015/4/29,59
2015/4/30,60
2015/5/1,59
2015/5/4,59
2015/5/5,60
2015/5/6,61
2015/5/7,59
2015/5/8,59
2015/5/11,59
2015/5/12,61
2015/5/13,61
2015/5/14,60
2015/5/15,60
2015/5/18,59
2015/5/19,57
2015/5/20,59
2015/5/21,60
2015/5/22,59
,
